x;horodate;conso;prod
208;2017-01-05 08:00:00;53110,68779164484;767,9162339551827
209;2017-01-05 08:30:00;52387,50054302522;5794,824756476462
210;2017-01-05 09:00:00;51431,547319602;15584,919142398932
211;2017-01-05 09:30:00;50388,25458995417;27687,046971924923
212;2017-01-05 10:00:00;49341,189434098706;38886,77631992452
213;2017-01-05 10:30:00;48398,28896743536;48469,79966228979
214;2017-01-05 11:00:00;48394,57496350104;55858,508405298504
215;2017-01-05 11:30:00;47572,13801861834;60701,76007051181
216;2017-01-05 12:00:00;46356,86734017999;63383,350175465515
217;2017-01-05 12:30:00;45043,01395207574;64482,03726518726
218;2017-01-05 13:00:00;54732,35505749253;63874,67231190211
219;2017-01-05 13:30:00;52223,39296603095;61344,07723567346
220;2017-01-05 14:00:00;49658,577247105175;56412,6453010299
221;2017-01-05 14:30:00;46840,14064536229;47957,51918482954
222;2017-01-05 15:00:00;54123,16571624892;36946,92456741791
223;2017-01-05 15:30:00;53575,148556565124;25399,07321374965
224;2017-01-05 16:00:00;50960,52007596912;14621,40602203798
225;2017-01-05 16:30:00;50779,776736123444;5472,702057104933
226;2017-01-05 17:00:00;50268,100255462414;918,1873451549116
227;2017-01-05 17:30:00;53952,97669122678;638,0287643900595
228;2017-01-05 18:00:00;55645,868970456904;639,9469261270348
229;2017-01-05 18:30:00;57127,416695755914;639,9469261270348
230;2017-01-05 19:00:00;57052,85112660752;642,8241687324978
231;2017-01-05 19:30:00;55860,10250644591;644,7423304694732
232;2017-01-05 20:00:00;54884,38619732894;644,7423304694732
233;2017-01-05 20:30:00;53656,64572373318;643,7832496009855
234;2017-01-05 21:00:00;52365,159977539;640,9060069955225
235;2017-01-05 21:30:00;51019,92965574891;638,9878452585472
236;2017-01-05 22:00:00;60555,23532185827;637,0696835215717
237;2017-01-05 22:30:00;59809,10430184432;637,0696835215717
238;2017-01-05 23:00:00;58384,23695867874;635,1515217845963
239;2017-01-05 23:30:00;56187,48929219505;635,1515217845963
240;2017-01-06 00:00:00;53809,11737674961;634,1924409161086
241;2017-01-06 00:30:00;52841,07190152639;634,1924409161086
242;2017-01-06 01:00:00;64256,032127263614;632,2742791791333
243;2017-01-06 01:30:00;61106,24395336874;632,2742791791333
244;2017-01-06 02:00:00;59452,29861181944;629,3970365736702
245;2017-01-06 02:30:00;57879,099074772515;627,4788748366948
246;2017-01-06 03:00:00;64489,154661162494;623,6425513627441
247;2017-01-06 03:30:00;62328,421756912125;624,6016322312317
248;2017-01-06 04:00:00;60170,55240144422;622,6834704942564
249;2017-01-06 04:30:00;59765,66448012661;622,6834704942564
250;2017-01-06 05:00:00;59304,40256297223;619,7931850877422
251;2017-01-06 05:30:00;58287,28337777098;621,7243896257687
252;2017-01-06 06:00:00;55404,74508764343;621,7243896257687
253;2017-01-06 06:30:00;57311,3587383961;620,765308757281
254;2017-01-06 07:00:00;58336,69198709375;621,7243896257687
255;2017-01-06 07:30:00;59264,58315763234;624,6016322312317
256;2017-01-06 08:00:00;57444,432323566856;695,9159230432479
257;2017-01-06 08:30:00;57464,48682789979;2349,7265102888064
258;2017-01-06 09:00:00;58160,77586914497;6320,091781641802
259;2017-01-06 09:30:00;57752,20381808594;10111,897334187886
260;2017-01-06 10:00:00;57244,5282041825;17611,8951881453
261;2017-01-06 10:30:00;57383,48958530702;15189,99089703942
262;2017-01-06 11:00:00;56179,393356702334;27353,255183359943
263;2017-01-06 11:30:00;57184,41677297728;28938,56680302555
264;2017-01-06 12:00:00;54649,68551012606;27341,919727849032
265;2017-01-06 12:30:00;53758,00247473779;27154,879787815356
266;2017-01-06 13:00:00;61938,391509415575;34263,2924549675
267;2017-01-06 13:30:00;59460,148181748984;48142,31358729725
268;2017-01-06 14:00:00;55945,29107959737;52482,45419303099
269;2017-01-06 14:30:00;52156,227175730615;45541,625068159716
270;2017-01-06 15:00:00;58263,495914287356;35364,706282192434
271;2017-01-06 15:30:00;56624,87425850138;24188,449248517813
272;2017-01-06 16:00:00;53513,08475061305;13703,031837580336
273;2017-01-06 16:30:00;53436,53040996086;5069,877218113636
274;2017-01-06 17:00:00;53095,06842945627;890,3177969944614
275;2017-01-06 17:30:00;56122,48354238889;633,2203172465698
276;2017-01-06 18:00:00;57560,28629170125;634,1924409161086
277;2017-01-06 18:30:00;58980,92425318695;637,0696835215717
278;2017-01-06 19:00:00;58788,72751743763;638,0287643900595
279;2017-01-06 19:30:00;57732,74196580035;639,9469261270348
280;2017-01-06 20:00:00;57099,72793070575;639,9469261270348
281;2017-01-06 20:30:00;55883,79597628699;637,0696835215717
282;2017-01-06 21:00:00;54439,73100903667;637,0696835215717
283;2017-01-06 21:30:00;53187,049682828896;635,1384789835453
284;2017-01-06 22:00:00;62669,54001475952;636,110602653084
285;2017-01-06 22:30:00;61879,73337046978;636,110602653084
286;2017-01-06 23:00:00;60467,586029788625;636,110602653084
287;2017-01-06 23:30:00;58603,73340692083;636,110602653084
288;2017-01-07 00:00:00;56274,34469221064;634,1793981150576
289;2017-01-07 00:30:00;54871,842559953526;637,0696835215717
290;2017-01-07 01:00:00;66124,92838459178;636,097559852033
291;2017-01-07 01:30:00;63615,28258248806;638,9878452585472
292;2017-01-07 02:00:00;61280,13497309736;638,0157215890083
293;2017-01-07 02:30:00;60274,31004406336;641,8650878640101
294;2017-01-07 03:00:00;65959,40091147769;641,8650878640101
295;2017-01-07 03:30:00;64678,335173587286;640,8929641944713
296;2017-01-07 04:00:00;61936,82206719332;642,8241687324978
297;2017-01-07 04:30:00;60552,50168242703;640,8929641944713
298;2017-01-07 05:00:00;60687,93489047812;641,8520450629591
299;2017-01-07 05:30:00;58688,847711850074;641,8650878640101
300;2017-01-07 06:00:00;54424,08696003916;642,8111259314468
301;2017-01-07 06:30:00;54902,34324846161;642,8111259314468
302;2017-01-07 07:00:00;54776,94639208433;640,8929641944713
303;2017-01-07 07:30:00;55345,726350724086;643,7702067999345
304;2017-01-07 08:00:00;53658,98500528022;710,327518166633
305;2017-01-07 08:30:00;54207,86452232897;2441,536848684042
306;2017-01-07 09:00:00;55449,48430990467;6004,82111547613
307;2017-01-07 09:30:00;56479,810862822094;9857,691601577193
308;2017-01-07 10:00:00;55695,740294122166;20573,594578078137
309;2017-01-07 10:30:00;56486,848977398535;16391,929968522698
310;2017-01-07 11:00:00;55361,208108246225;14435,013884174126
